dataset,narrativeqa,qasper,multifieldqa_en,hotpotqa,2wikimqa,musique,gov_report,qmsum,multi_news,trec,triviaqa,samsum,passage_count,passage_retrieval_en,lcc,repobench-p
FullKV,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
random,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
SnapKV,26.72,-1,-1,39.78,27.41,-1,32.81,24.33,26.95,-1,86.12,-1,-1,84.86,59.67,53.88
StreamingLLM,26.04,-1,-1,38.41,27.68,-1,32.47,23.73,26.94,-1,86.12,-1,-1,84.86,59.69,54.26
H2O,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
PyramidKV,26.74,-1,-1,39.78,27.41,-1,32.87,24.26,26.95,-1,86.12,-1,-1,84.86,59.67,53.9
CAM,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
L2Norm,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
ThinK,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
