dataset,narrativeqa,qasper,multifieldqa_en,hotpotqa,2wikimqa,musique,gov_report,qmsum,multi_news,trec,triviaqa,samsum,passage_count,passage_retrieval_en,lcc,repobench-p
FullKV,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
random,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
SnapKV,26.27,-1,-1,39.5,28.8,-1,30.64,24.27,26.78,-1,86.24,-1,-1,84.52,59.62,53.08
StreamingLLM,23.73,-1,-1,30.67,23.33,-1,29.02,21.1,26.69,-1,85.76,-1,-1,30.67,59.14,53.56
H2O,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
PyramidKV,26.11,-1,-1,38.16,27.83,-1,30.45,23.99,26.7,-1,86.12,-1,-1,83.69,59.67,53.84
CAM,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
L2Norm,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
ThinK,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
